"lsoa","area","chronic.condition.rate","long.term.illness.rate","income.deprivation","public.travel.sec.school","public.travel.prim.school","adults.no.qualifications.percent","urban"
"St. Clears 2 ","Carmarthenshire ",14.6,20.4,11,139,37,18.6,0
"St. Ishmael 1 ","Carmarthenshire ",12.2,19.4,7,65,66,12.6,0
"St. Ishmael 2 ","Carmarthenshire ",14.2,22.1,12,92,32,11.2,0
"Saron 1 ","Carmarthenshire ",13.9,26.5,16,60,44,16.9,0
"Saron 2 ","Carmarthenshire ",14.8,25,16,35,25,20.1,0
"Swiss Valley 1 ","Carmarthenshire ",11.7,19.2,5,40,31,9.3,0
"Swiss Valley 2 ","Carmarthenshire ",16.3,23.8,10,28,21,21.7,0
"Trelech ","Carmarthenshire ",12.4,19.7,9,172,114,16,0
"Trimsaran 1 ","Carmarthenshire ",17.9,30.9,24,65,22,28.3,0
"Trimsaran 2 ","Carmarthenshire ",15.2,29.1,21,70,31,21.2,0
"Tycroes ","Carmarthenshire ",14.5,23.5,12,49,25,16.6,0
"Tyisha 1 ","Carmarthenshire ",14.7,24.2,20,47,20,23.6,0
"Tyisha 2 ","Carmarthenshire ",20.6,32.8,36,37,20,36.9,0
"Tyisha 3 ","Carmarthenshire ",18.6,31,27,36,22,26.9,0
"Whitland ","Carmarthenshire ",12.6,19.8,11,80,52,15.9,0
"Glanymor 3 ","Carmarthenshire ",12.6,26.7,17,112,59,23.2,0
"Glanymor 4 ","Carmarthenshire ",18.9,29.3,33,75,24,36,0
"Hengoed 2 ","Carmarthenshire ",12.8,23.4,14,36,27,15.2,0
"Bishopston 1 ","Swansea ",8.9,15.4,4,36,28,4.2,1
"Bishopston 2 ","Swansea ",10.1,18.1,7,55,36,6.9,1
"Bonymaen 1 ","Swansea ",21.7,33.6,35,26,21,41.5,1
"Bonymaen 2 ","Swansea ",18.2,31.5,24,33,25,26.8,1
"Bonymaen 3 ","Swansea ",15.7,27,14,31,26,22.1,1
"Bonymaen 4 ","Swansea ",17.5,28.8,28,27,24,30.5,1
"Castle 1 ","Swansea ",21.3,37.4,41,30,20,37,1
"Castle 3 ","Swansea ",15.4,28.2,25,37,23,27.4,1
"Castle 4 ","Swansea ",20.4,30.6,22,44,23,22.4,1
"Castle 5 ","Swansea ",11.8,24.3,22,46,23,17.6,1
"Castle 6 ","Swansea ",17.1,24.2,18,43,20,16.1,1
"Castle 8 ","Swansea ",14.2,24.5,17,48,20,22.7,1
"Clydach 1 ","Swansea ",16,28,23,54,25,24.3,1
"Clydach 2 ","Swansea ",12.5,22.1,6,47,27,10.7,1
"Clydach 3 ","Swansea ",17.2,32,29,51,20,27.1,1
"Clydach 4 ","Swansea ",15.3,26.5,21,60,23,17.4,1
"Clydach 5 ","Swansea ",16.1,26.2,17,45,20,21.6,1
"Cockett 1 ","Swansea ",13,25.1,16,42,27,20.5,1
"Cockett 2 ","Swansea ",17.7,32.1,25,31,23,26.1,1
"Cockett 3 ","Swansea ",15,25.2,19,30,24,18,1
"Cockett 4 ","Swansea ",15.1,23,14,25,22,13.4,1
"Cockett 5 ","Swansea ",13.9,21.4,10,30,22,10.6,1
"Cockett 6 ","Swansea ",15.9,23.6,18,51,34,25.4,1
"Cockett 7 ","Swansea ",15,24.4,19,36,24,20.7,1
"Cockett 8 ","Swansea ",18.6,32.7,31,44,24,35.4,1
"Cwmbwrla 1 ","Swansea ",13.9,24.1,20,30,25,22.1,1
"Cwmbwrla 2 ","Swansea ",16.2,22.9,17,50,20,21.5,1
"Cwmbwrla 3 ","Swansea ",14.9,23.4,19,30,20,23.8,1
"Cwmbwrla 4 ","Swansea ",13.7,22.1,14,40,26,16.7,1
"Cwmbwrla 5 ","Swansea ",17.4,27.7,24,49,21,33.2,1
"Dunvant 1 ","Swansea ",13.1,20.5,11,34,26,11.3,1
"Dunvant 2 ","Swansea ",10.6,18,7,37,22,8.8,1
"Dunvant 3 ","Swansea ",10.3,19.3,6,36,20,7.2,1
"Fairwood 2 ","Swansea ",10,21.1,11,37,30,12.1,1
"Fairwood 1 ","Swansea ",9.9,18.8,8,65,23,9.7,1
"Gorseinon 1 ","Swansea ",17.9,27.2,17,42,25,17.2,1
"Gorseinon 2 ","Swansea ",14.6,27,14,32,23,20.1,1
"Gower (Swansea) 1 ","Swansea ",9.3,16.5,5,121,65,8.8,1
"Gower (Swansea) 2 ","Swansea ",9.2,17.2,5,97,50,7.9,1
"Gowerton 1 ","Swansea ",12,20,9,24,29,8.9,1
"Gowerton 2 ","Swansea ",13.1,21.5,11,26,26,9.9,1
"Gowerton 3 ","Swansea ",15.1,22.7,14,29,34,14,1
"Killay North 2 ","Swansea ",9.3,16.6,5,34,21,6.2,1
"Killay South 1 ","Swansea ",10.6,21,8,30,27,6.8,1
"Kingsbridge 1 ","Swansea ",14.6,21.2,11,42,21,11.9,1
"Kingsbridge 2 ","Swansea ",11.8,17.8,3,59,24,8.6,1
"Kingsbridge 3 ","Swansea ",12.5,21.3,7,47,31,12.2,1
"Landore 1 ","Swansea ",15.7,24.3,24,36,21,20.3,1
"Landore 2 ","Swansea ",17.6,27.8,29,29,21,27.1,1
"Landore 3 ","Swansea ",16.5,31,28,26,21,30.7,1
"Landore 4 ","Swansea ",16.4,29.2,23,29,21,35,1
"Llangyfelach 1 ","Swansea ",11.8,19.7,5,38,25,9.7,1
"Llangyfelach 2 ","Swansea ",10.9,17.8,6,54,26,8.1,1
"Llangyfelach 3 ","Swansea ",12.7,16,4,108,55,7.7,1
"Llansamlet 1 ","Swansea ",15.7,21.6,12,35,23,13.4,1
"Llansamlet 2 ","Swansea ",13.8,20.8,8,29,34,8.6,1
"Llansamlet 3 ","Swansea ",14.7,17.6,7,36,33,10.5,1
"Llansamlet 4 ","Swansea ",16.5,24.2,10,38,26,17.5,1
"Llansamlet 5 ","Swansea ",15.4,23.9,11,34,21,22.7,1
"Llansamlet 6 ","Swansea ",20.2,31.8,29,39,25,26.8,1
"Llansamlet 7 ","Swansea ",13.4,18.6,7,46,24,9,1
"Llansamlet 8 ","Swansea ",19,31.5,31,26,27,30.2,1
"Lower Loughor ","Swansea ",15.2,25.4,18,53,24,17.4,1
"Mawr ","Swansea ",10.8,22.1,12,115,52,14.8,1
"Mayals 1 ","Swansea ",9.6,17.4,5,48,27,7.7,1
"Mayals 2 ","Swansea ",8.2,15.4,3,41,27,4.6,1
"Morriston 1 ","Swansea ",13.5,23.3,15,31,26,17.9,1
"Morriston 2 ","Swansea ",12.4,18.6,6,29,21,13.3,1
"Morriston 3 ","Swansea ",14.1,24.2,11,27,23,19.3,1
"Morriston 4 ","Swansea ",18,25.1,17,31,23,18.9,1
"Morriston 5 ","Swansea ",20.6,31.7,38,27,22,34.1,1
"Morriston 6 ","Swansea ",18,31.3,23,26,23,27.5,1
"Morriston 7 ","Swansea ",18.7,30,31,38,20,25.9,1
"Morriston 8 ","Swansea ",14,22.6,11,30,21,13.3,1
"Morriston 9 ","Swansea ",19.5,30.8,27,40,24,27.9,1
"Morriston 10 ","Swansea ",12.1,20.5,7,37,22,8.1,1
"Morriston 11 ","Swansea ",12.4,18.8,7,30,30,10.6,1
"Mynyddbach 1 ","Swansea ",21.3,35.8,40,29,22,36.9,1
"Mynyddbach 2 ","Swansea ",16.9,26.8,25,26,24,30.1,1
"Mynyddbach 3 ","Swansea ",12.7,19.5,8,32,29,13.8,1
"Mynyddbach 4 ","Swansea ",15.9,24.2,13,30,22,17.8,1
"Mynyddbach 5 ","Swansea ",15.3,26.7,19,36,23,22.1,1
"Mynyddbach 6 ","Swansea ",16,23.9,13,33,29,22.4,1
"Newton (Swansea) 1 ","Swansea ",8.9,14.7,3,75,26,4.8,1
"Newton (Swansea) 2 ","Swansea ",9.2,16.3,7,77,27,5.4,1
"Oystermouth 1 ","Swansea ",8.7,19.2,8,76,24,6.1,1
"Oystermouth 2 ","Swansea ",9.9,17.4,5,93,32,6.9,1
"Oystermouth 3 ","Swansea ",9.3,14.1,5,68,21,3.8,1
"Penclawdd 1 ","Swansea ",11.2,18.8,5,68,39,11,1
"Penclawdd 2 ","Swansea ",15.1,23.2,13,40,25,15.4,1
"Penderry 1 ","Swansea ",24,37.8,42,34,23,44.8,1
"Penderry 2 ","Swansea ",19.2,31,34,36,22,35.1,1
"Penderry 3 ","Swansea ",23.6,35.4,41,30,24,40.5,1
"Penderry 4 ","Swansea ",19.5,37,39,26,27,41.4,1
"Penderry 5 ","Swansea ",18.5,30.9,33,28,26,37.9,1
"Penderry 6 ","Swansea ",19.9,32.1,33,32,22,40.5,1
"Penderry 7 ","Swansea ",15.9,32.7,29,37,26,32.5,1
"Penllergaer 1 ","Swansea ",11.1,17.1,3,59,26,8.6,1
"Penllergaer 2 ","Swansea ",18.1,30.7,27,61,28,29.6,1
"Pennard 1 ","Swansea ",10.6,17.8,7,40,33,5,1
"Pennard 2 ","Swansea ",9,16.2,5,48,27,4.5,1
"Penyrheol (Swansea) 1 ","Swansea ",16.3,26.4,18,47,30,20.4,1
"Penyrheol (Swansea) 2 ","Swansea ",14.7,23,11,34,22,19.2,1
"Penyrheol (Swansea) 3 ","Swansea ",15.7,22.8,12,33,21,16.3,1
"Penyrheol (Swansea) 4 ","Swansea ",16.4,32.5,26,38,24,31.5,1
"Pontardulais 1 ","Swansea ",12.7,21.3,8,34,23,8.3,1
"Pontardulais 2 ","Swansea ",14.8,25.3,17,28,26,16.5,1
"Pontardulais 3 ","Swansea ",13.1,24.6,14,34,32,18.5,1
"Pontardulais 4 ","Swansea ",17.5,30,28,23,25,24.8,1
"St. Thomas 1 ","Swansea ",19.3,33.5,26,74,27,34.2,1
"St. Thomas 2 ","Swansea ",17.5,27.4,21,53,23,23.1,1
"St. Thomas 3 ","Swansea ",15,27.5,17,44,24,25.4,1
"St. Thomas 4 ","Swansea ",14.8,26.7,18,69,20,25.1,1
"Sketty 1 ","Swansea ",9.7,19.9,7,29,28,6.5,1
"Sketty 2 ","Swansea ",7.5,20.5,5,32,25,9.3,1
"Sketty 3 ","Swansea ",10.6,19,6,27,25,6.6,1
"Sketty 4 ","Swansea ",15,28.5,29,28,22,18.6,1
"Sketty 5 ","Swansea ",15.3,24.2,19,28,27,12,1
"Sketty 6 ","Swansea ",9.4,16.1,5,27,29,4.9,1
"Sketty 7 ","Swansea ",10.5,18.2,7,27,23,7.9,1
"Sketty 8 ","Swansea ",10.1,16,3,38,31,5.8,1
"Sketty 9 ","Swansea ",13.5,19.9,4,21,28,6.2,1
"Townhill 1 ","Swansea ",22.9,38.6,43,33,26,41.9,1
"Townhill 2 ","Swansea ",21.4,37.4,42,31,28,42.2,1
"Townhill 3 ","Swansea ",21.1,34.5,42,38,22,41,1
"Townhill 4 ","Swansea ",18.5,28.3,28,34,28,32.9,1
"Townhill 5 ","Swansea ",21.2,32.6,44,40,20,42.8,1
"Townhill 6 ","Swansea ",18.9,36.9,39,40,22,42.5,1
"Uplands 1 ","Swansea ",12.2,18.7,5,31,31,9.4,1
"Uplands 2 ","Swansea ",11.9,24.4,16,39,26,10.5,1
"Uplands 3 ","Swansea ",10.1,18.9,7,31,32,8.7,1
"Uplands 4 ","Swansea ",13.7,22.5,15,39,21,14.5,1
"Uplands 5 ","Swansea ",9.8,16,6,30,31,5.7,1
"Uplands 6 ","Swansea ",10.8,21.6,7,38,23,16.2,1
"Uplands 7 ","Swansea ",10.8,18.1,6,30,23,6.3,1
"Uplands 8 ","Swansea ",13.4,24,8,40,24,12.7,1
"Uplands 9 ","Swansea ",12.6,17.3,4,39,19,7.3,1
"Upper Loughor 1 ","Swansea ",13.1,22.5,8,47,27,13.7,1
"Upper Loughor 2 ","Swansea ",11.8,22.5,11,49,23,16.9,1
"West Cross 1 ","Swansea ",12.1,16.4,5,64,22,5.4,1
"West Cross 2 ","Swansea ",10.9,18,7,57,20,8.7,1
"West Cross 3 ","Swansea ",15.1,25.6,26,46,22,17.1,1
"West Cross 4 ","Swansea ",14.4,25.7,24,50,22,15.9,1
"Castle 7 East ","Swansea ",9.2,20.2,7,58,35,8.9,1
"Castle 2 North ","Swansea ",19.3,37.5,39,37,26,31.5,1
"Killay 3 ","Swansea ",10.6,16.4,5,32,24,7.9,1
"Castle 7 West ","Swansea ",16.5,30.2,22,50,26,27.3,1
"Castle 2 South ","Swansea ",11.7,23.4,11,70,48,10.9,1
"Aberavon 1 ","Neath Port Talbot ",14,23.2,6,30,29,19.9,0
"Aberavon 2 ","Neath Port Talbot ",18.6,29.9,30,21,21,29.1,0
"Aberavon 3 ","Neath Port Talbot ",18.8,35.5,27,26,21,34.8,0
"Aberavon 4 ","Neath Port Talbot ",18.6,35.4,37,28,20,35.4,0
"Aberdulais ","Neath Port Talbot ",15.4,26.2,17,33,28,18.9,0
"Allt-wen ","Neath Port Talbot ",13.5,25,13,37,29,13.9,0
"Baglan 1 ","Neath Port Talbot ",12.4,22.6,10,39,29,12.1,0
"Baglan 2 ","Neath Port Talbot ",11.9,18.7,4,40,23,9.8,0
"Baglan 3 ","Neath Port Talbot ",13.8,26.6,18,47,28,22.8,0
"Baglan 4 ","Neath Port Talbot ",14.3,22.3,11,43,25,16.3,0
"Blaengwrach ","Neath Port Talbot ",15.5,26.8,19,72,24,30,0
"Briton Ferry East 1 ","Neath Port Talbot ",16,24.5,15,47,23,18.5,0
"Briton Ferry East 2 ","Neath Port Talbot ",18.7,29.9,27,40,20,29.6,0
"Briton Ferry West 1 ","Neath Port Talbot ",20.4,33,39,57,20,38.9,0
"Briton Ferry West 2 ","Neath Port Talbot ",17.7,28.5,22,49,20,27.6,0
"Bryn and Cwmavon 1 ","Neath Port Talbot ",16.3,27.8,13,62,34,21.7,0
"Bryn and Cwmavon 2 ","Neath Port Talbot ",14.4,22.5,9,61,24,13.6,0
"Bryn and Cwmavon 3 ","Neath Port Talbot ",19.1,30.9,29,58,23,29,0
"Bryn and Cwmavon 4 ","Neath Port Talbot ",16,28.3,21,64,28,23.9,0
"Bryn-coch North 1 ","Neath Port Talbot ",13.2,22.1,9,38,25,16.3,0
"Bryn-coch North 2 ","Neath Port Talbot ",12.5,17.9,4,28,22,9.7,0
"Bryn-coch South 1 ","Neath Port Talbot ",11.1,16.1,5,30,23,6.8,0
"Bryn-coch South 2 ","Neath Port Talbot ",14.3,23.6,13,24,23,18.4,0
"Bryn-coch South 3 ","Neath Port Talbot ",13.3,19.6,11,26,30,15.2,0
"Bryn-coch South 4 ","Neath Port Talbot ",15.8,28.5,24,26,27,23.2,0
"Cadoxton ","Neath Port Talbot ",12.4,21.9,8,25,24,12.3,0
"Cimla 1 ","Neath Port Talbot ",16.7,26.2,17,26,24,23.2,0
"Cimla 2 ","Neath Port Talbot ",14.4,22.2,7,21,29,14.6,0
"Cimla 3 ","Neath Port Talbot ",14,21.6,6,29,30,13.6,0
"Coedffranc Central 1 ","Neath Port Talbot ",17.7,25.7,21,43,22,18.7,0
"Coedffranc Central 2 ","Neath Port Talbot ",14.7,25.2,16,43,21,21.3,0
"Coedffranc Central 3 ","Neath Port Talbot ",18.3,30.5,29,49,30,28.8,0
"Coedffranc North 1 ","Neath Port Talbot ",15.7,25.1,12,54,24,22.4,0
"Coedffranc North 2 ","Neath Port Talbot ",13,23.8,11,50,30,14.2,0
"Coedffranc West ","Neath Port Talbot ",13.9,21,8,69,35,15.1,0
"Crynant ","Neath Port Talbot ",14.5,25.6,13,42,28,19.5,0
"Cwmllynfell ","Neath Port Talbot ",13.9,27.4,13,90,52,20.8,0
"Cymmer (Neath Port Talbot) 1 ","Neath Port Talbot ",21.4,29.9,20,33,26,32,0
"Cymmer (Neath Port Talbot) 2 ","Neath Port Talbot ",21.9,40.3,38,23,20,50.2,0
"Dyffryn 1 ","Neath Port Talbot ",17.7,30.5,21,48,32,25,0
"Dyffryn 2 ","Neath Port Talbot ",15.5,23.9,8,54,39,17.9,0
"Glyncorrwg ","Neath Port Talbot ",17.1,30.8,25,62,16,40.8,0
"Glynneath 1 ","Neath Port Talbot ",18.4,28.8,24,73,22,31.2,0
"Glynneath 2 ","Neath Port Talbot ",17.2,24.1,15,74,22,21.4,0
"Godre'r graig ","Neath Port Talbot ",16.7,30,14,41,25,19.9,0
"Gwaun-Cae-Gurwen 1 ","Neath Port Talbot ",15.9,30.1,19,61,24,24.9,0
"Gwaun-Cae-Gurwen 2 ","Neath Port Talbot ",15.6,33,25,60,41,24.4,0
"Gwynfi ","Neath Port Talbot ",18.7,36.7,27,58,23,37.3,0
"Lower Brynamman ","Neath Port Talbot ",17.3,29.8,20,69,22,22.1,0
"Margam 1 ","Neath Port Talbot ",14,27.2,21,24,23,22.6,0
"Margam 2 ","Neath Port Talbot ",10.8,18.7,8,53,42,9.1,0
"Neath East 1 ","Neath Port Talbot ",19.8,34.2,31,36,23,33,0
"Neath East 2 ","Neath Port Talbot ",16.9,31.9,31,34,21,31.4,0
"Neath East 3 ","Neath Port Talbot ",15.8,29.9,30,44,24,29.1,0
"Neath East 4 ","Neath Port Talbot ",15.9,31.8,23,40,20,27.6,0
"Neath North 1 ","Neath Port Talbot ",13.3,24.3,11,37,22,16.5,0
"Neath North 2 ","Neath Port Talbot ",18.3,34.2,36,32,20,32,0
"Neath North 3 ","Neath Port Talbot ",15.7,32,30,52,29,30.9,0
"Neath South 1 ","Neath Port Talbot ",15.2,28.5,27,37,20,27.8,0
"Neath South 2 ","Neath Port Talbot ",16.8,31.6,28,29,23,32.5,0
"Neath South 3 ","Neath Port Talbot ",11.8,20,6,30,25,11.3,0
"Onllwyn ","Neath Port Talbot ",17.3,30.1,20,79,23,31.7,0
"Pelenna ","Neath Port Talbot ",17,29.7,19,36,41,24.2,0
"Pontardawe 1 ","Neath Port Talbot ",15.4,24.7,18,42,27,17.6,0
"Pontardawe 2 ","Neath Port Talbot ",15.9,29.6,22,40,22,22.4,0
"Pontardawe 3 ","Neath Port Talbot ",15.7,26.9,16,28,23,16.8,0
"Port Talbot 1 ","Neath Port Talbot ",13.8,23,13,57,29,17.4,0
"Port Talbot 2 ","Neath Port Talbot ",15.7,25.3,17,45,28,19.1,0
"Port Talbot 3 ","Neath Port Talbot ",18.7,27.8,24,42,22,22,0
"Port Talbot 4 ","Neath Port Talbot ",15.6,24.6,15,38,21,20.2,0
"Resolven 1 ","Neath Port Talbot ",17.7,27.9,20,60,24,29.3,0
"Resolven 2 ","Neath Port Talbot ",16.6,24.2,13,61,21,21.2,0
"Rhos 1 ","Neath Port Talbot ",11.8,23.1,12,43,34,12.4,0
"Rhos 2 ","Neath Port Talbot ",13.3,23.3,7,38,21,9.9,0
"Sandfields East 1 ","Neath Port Talbot ",19.5,31.3,34,33,22,37.9,0
"Sandfields East 2 ","Neath Port Talbot ",20.2,36.9,36,32,21,40.6,0
"Sandfields East 3 ","Neath Port Talbot ",12.5,25.1,14,40,22,19.5,0
"Sandfields East 4 ","Neath Port Talbot ",16.9,29.9,24,38,21,25.2,0
"Sandfields West 1 ","Neath Port Talbot ",18,29.3,26,28,26,33,0
"Sandfields West 2 ","Neath Port Talbot ",21.4,38.4,36,30,23,47.1,0
"Sandfields West 3 ","Neath Port Talbot ",18.4,33.9,34,28,20,37,0
"Sandfields West 4 ","Neath Port Talbot ",21.1,35.2,30,29,27,38.2,0
"Seven Sisters ","Neath Port Talbot ",18.3,28.9,19,63,20,30.8,0
"Tai-bach 1 ","Neath Port Talbot ",14.8,26.8,20,46,22,24.1,0
"Tai-bach 2 ","Neath Port Talbot ",17.2,30.1,28,31,23,27.1,0
"Tai-bach 3 ","Neath Port Talbot ",14.4,27.4,17,28,23,24.3,0
"Tonna 1 ","Neath Port Talbot ",12.6,20.6,7,58,26,10.7,0
"Tonna 2 ","Neath Port Talbot ",15,27.2,16,38,28,20.7,0
"Trebanos ","Neath Port Talbot ",15.2,26.8,15,35,27,17.6,0
"Ystalyfera 2 ","Neath Port Talbot ",18.3,32.1,24,24,24,29.8,0
"Ystalyfera 1 ","Neath Port Talbot ",15.9,32.3,23,49,35,23.1,0
"Aberkenfig ","Bridgend ",15.9,23,10,41,22,20,0
"Bettws (Bridgend) ","Bridgend ",23.6,36.4,32,32,21,45.6,0
"Blackmill 1 ","Bridgend ",15.5,31.8,25,54,23,37.7,0
"Blackmill 2 ","Bridgend ",17.5,30,26,55,34,39,0
"Blaengarw ","Bridgend ",20.4,29.5,19,105,18,30.1,0
"Brackla 1 ","Bridgend ",16.1,19.6,13,30,24,13.6,0
"Brackla 2 ","Bridgend ",16.7,25.2,15,30,20,16.4,0
"Brackla 3 ","Bridgend ",26.4,37.3,38,41,20,32,0
"Brackla 4 ","Bridgend ",14.4,20.6,14,25,25,13.1,0
"Brackla 5 ","Bridgend ",13.9,20.4,10,32,28,9.7,0
"Brackla 6 ","Bridgend ",13.9,18.8,13,28,26,10.9,0
"Brackla 7 ","Bridgend ",12.4,16.7,4,36,28,6.5,0
"Bryncethin ","Bridgend ",14.4,22.5,12,60,27,18.9,0
"Bryncoch ","Bridgend ",17.5,27.7,20,34,27,30.6,0
"Bryntirion Laleston and Merthyr Mawr 2 ","Bridgend ",11.3,17.9,8,50,25,12.3,0
"Bryntirion Laleston and Merthyr Mawr 3 ","Bridgend ",21.5,28.9,23,36,21,27.7,0
"Caerau (Bridgend) 1 ","Bridgend ",24.1,39.2,46,44,28,53.7,0
"Caerau (Bridgend) 2 ","Bridgend ",21.2,36.7,35,45,27,47.5,0
"Caerau (Bridgend) 3 ","Bridgend ",20,36.3,30,41,24,37.6,0
"Caerau (Bridgend) 4 ","Bridgend ",21.2,34.6,24,39,25,34.8,0
"Caerau (Bridgend) 5 ","Bridgend ",16.6,27.5,18,35,20,28.9,0
"Cefn Cribwr ","Bridgend ",16.4,26.7,15,42,21,24.1,0
"Cefn Glas ","Bridgend ",16.8,23.1,13,22,24,17.6,0
"Coity ","Bridgend ",11.9,27,6,122,35,21.8,0
"Cornelly 1 ","Bridgend ",16.9,26.7,22,54,24,30.7,0
"Cornelly 2 ","Bridgend ",13.5,21.3,13,53,27,17.3,0
"Cornelly 3 ","Bridgend ",14.2,24.4,20,51,28,25.7,0
"Cornelly 4 ","Bridgend ",18.5,32.9,28,49,24,29.8,0
"Coychurch Lower ","Bridgend ",13.5,20.8,7,34,28,15.4,0
"Felindre 1 ","Bridgend ",17.9,30,20,27,24,34.2,0
"Felindre 2 ","Bridgend ",15.5,21.5,9,23,22,15.2,0
"Hendre (Bridgend) 1 ","Bridgend ",15.3,19.6,5,36,32,13.7,0
"Hendre (Bridgend) 2 ","Bridgend ",18.7,22.9,17,31,28,19.8,0
"Litchard ","Bridgend ",13.3,18.3,5,42,23,10.7,0
"Llangeinor ","Bridgend ",17.4,30.9,15,72,27,31.8,0
"Llangewydd and Brynhyfryd 1 ","Bridgend ",19.4,23.8,24,28,28,22.4,0
"Llangewydd and Brynhyfryd 2 ","Bridgend ",15.2,23.2,10,30,23,18.8,0
"Llangynwyd 1 ","Bridgend ",16,19.4,8,37,28,16.2,0
"Llangynwyd 2 ","Bridgend ",17.4,27.7,18,28,20,25.4,0
"Maesteg East 1 ","Bridgend ",20.9,30.4,23,26,21,26.4,0
"Maesteg East 2 ","Bridgend ",21.4,30.8,24,31,29,30.7,0
"Maesteg East 3 ","Bridgend ",16.6,26.5,12,31,23,26.6,0
"Maesteg West 1 ","Bridgend ",16.3,24.1,13,38,22,17.2,0
"Maesteg West 2 ","Bridgend ",19.3,31.8,21,33,20,31.7,0
"Maesteg West 3 ","Bridgend ",21.2,28.3,26,73,25,30.5,0
"Maesteg West 4 ","Bridgend ",18.6,31.6,23,31,22,32,0
"Morfa 1 ","Bridgend ",17.4,24.7,21,37,20,21,0
"Morfa 2 ","Bridgend ",18.4,28.9,33,44,30,31,0
"Morfa 3 ","Bridgend ",17.2,28.4,23,44,29,26.7,0
"Nant-y-moel 1 ","Bridgend ",17.4,31.1,24,87,28,32.2,0
"Nant-y-moel 2 ","Bridgend ",16.6,29.4,17,80,20,29.1,0
"Newcastle 1 ","Bridgend ",19.5,30.1,23,29,20,28.5,0
"Newcastle 2 ","Bridgend ",14.4,21.3,12,43,23,15.3,0
"Newcastle 3 ","Bridgend ",14.4,20,12,36,26,13.3,0
"Newton (Bridgend) 1 ","Bridgend ",11.2,20.1,8,61,42,12.5,0
"Newton (Bridgend) 2 ","Bridgend ",14.6,20.3,11,46,31,11.6,0
"Nottage 1 ","Bridgend ",11.1,19.2,5,66,25,8.7,0
"Nottage 2 ","Bridgend ",11.9,20.9,9,53,25,10.8,0
"Ogmore Vale 1 ","Bridgend ",14.4,23.7,16,66,24,27.6,0
"Ogmore Vale 2 ","Bridgend ",16.2,28.7,23,70,21,32.8,0
"Oldcastle 1 ","Bridgend ",17.6,26.1,26,30,24,22,0
"Oldcastle 2 ","Bridgend ",12.6,17.5,7,24,24,7.3,0
"Oldcastle 3 ","Bridgend ",14.2,21.3,5,27,32,10.7,0
"Pendre ","Bridgend ",16.1,25.2,14,48,25,15.4,0
"Penprysg 1 ","Bridgend ",15.7,22.6,10,35,23,21.8,0
"Penprysg 2 ","Bridgend ",14.5,21.2,12,36,32,16.9,0
"Pen-y-fai ","Bridgend ",11,19.7,5,72,29,9.8,0
"Pontycymmer 1 ","Bridgend ",18.6,28.2,19,90,20,25.9,0
"Pontycymmer 2 ","Bridgend ",20.7,29.4,20,76,21,27.4,0
"Porthcawl East Central 1 ","Bridgend ",14.8,26.5,21,37,23,28,0
"Porthcawl East Central 2 ","Bridgend ",17,24.5,20,34,20,21.5,0
"Porthcawl West Central 1 ","Bridgend ",16.2,24.4,21,25,26,18.6,0
"Porthcawl West Central 2 ","Bridgend ",13.4,21.4,13,26,23,16.6,0
"Pyle 1 ","Bridgend ",12.7,22.4,11,44,26,18,0
"Pyle 2 ","Bridgend ",18.9,30.2,27,36,21,37.9,0
"Pyle 3 ","Bridgend ",18.6,27.2,23,27,21,25.1,0
"Pyle 4 ","Bridgend ",14.6,26.4,22,46,22,21.5,0
"Pyle 5 ","Bridgend ",16,29.4,27,38,22,30.5,0
"Rest Bay 1 ","Bridgend ",10.8,19.2,7,62,35,10.9,0
"Rest Bay 2 ","Bridgend ",12.6,18.3,6,35,41,5.8,0
"Sarn 1 ","Bridgend ",21.7,36.1,30,30,26,39.5,0
"Sarn 2 ","Bridgend ",15.2,25.8,16,32,24,31.3,0
"Ynysawdre 1 ","Bridgend ",19.2,31.4,22,30,22,28.2,0
"Ynysawdre 2 ","Bridgend ",15.7,20.7,11,29,31,14.9,0
"Bryntirion Laleston and Merthyr Mawr 1 ","Bridgend ",8.7,13.6,5,68,28,4.5,0
"Bryntirion Laleston and Merthyr Mawr 4 ","Bridgend ",10.5,14.4,4,64,26,6.2,0
"Bryntirion Laleston and Merthyr Mawr 5 ","Bridgend ",12.1,17.3,6,88,29,7.7,0
"Bryntirion Laleston and Merthyr Mawr 6 ","Bridgend ",14.9,21,13,56,21,11.7,0
"Baruc 1 ","Vale of Glamorgan ",10.2,19.1,9,41,27,12.1,0
"Baruc 2 ","Vale of Glamorgan ",11,15.4,5,61,30,6.8,0
"Baruc 3 ","Vale of Glamorgan ",15.1,24.9,16,61,25,16.8,0
"Baruc 4 ","Vale of Glamorgan ",11.6,20.3,10,33,22,11,0
"Buttrills 1 ","Vale of Glamorgan ",16.4,24.2,17,45,20,17.8,0
"Buttrills 2 ","Vale of Glamorgan ",20.5,30.5,28,32,20,31.4,0
"Buttrills 3 ","Vale of Glamorgan ",15.3,24.3,17,42,19,20.4,0
"Buttrills 4 ","Vale of Glamorgan ",16.1,24.1,19,36,23,15.9,0
"Cadoc 1 ","Vale of Glamorgan ",21.4,30.2,32,30,24,31.4,0
"Cadoc 2 ","Vale of Glamorgan ",17.6,25.3,16,27,24,19.2,0
"Cadoc 3 ","Vale of Glamorgan ",17.2,29.6,28,38,19,23.4,0
